Destination,SERIES,2018,2019,Average
Albania,VFN,23.0,25.0,24.0
Angola,TFR,203.0,203.0,203.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,1260.0,0.0,630.0
Azerbaijan,VFR,108.0,131.0,119.5
Bahamas,TFR,10.0,27.0,18.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,13.0,0.0,6.5
Belarus,VFN,19.0,30.0,24.5
Belgium,TCER,318.0,0.0,159.0
Benin,TFR,98.0,0.0,49.0
Bhutan,TFN,2.0,8.0,5.0
Botswana,TFR,4421.0,0.0,2210.5
Bulgaria,TCER,52.0,55.0,53.5
Cambodia,TFR,107.0,0.0,53.5
Canada,TFR,2398.0,0.0,1199.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,27208.0,0.0,13604.0
Colombia,TFR,36.0,0.0,18.0
Comoros,TFN,588.0,770.0,679.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,34.0,21.0,27.5
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,30.0,0.0,15.0
Egypt,VFN,6168.0,0.0,3084.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,9397.0,0.0,4698.5
Finland,TCER,263.0,220.0,241.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,23443.0,0.0,11721.5
Indonesia,VFN,1207.0,1151.0,1179.0
"Iran, Islamic Republic of",VFN,1301.0,0.0,650.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,962.0,0.0,481.0
Italy,TFN,1196.0,250.0,723.0
Japan,VFN,809.0,882.0,845.5
Jordan,TFN,248.0,0.0,124.0
Kazakhstan,VFR,31.0,17.0,24.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,1100.0,1080.0,1090.0
Kuwait,VFN,249.0,0.0,124.5
Latvia,TCER,22.0,25.0,23.5
Lebanon,TFN,971.0,812.0,891.5
Lesotho,VFR,955.0,920.0,937.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,201.0,0.0,100.5
Malaysia,TFN,2470.0,2912.0,2691.0
Maldives,TFN,101.0,0.0,50.5
Mali,TFR,226.0,0.0,113.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,797.0,1074.0,935.5
Mexico,TFR,137.0,0.0,68.5
Mongolia,TFN,6.0,9.0,7.5
Morocco,TFN,477.0,0.0,238.5
New Zealand,VFR,146.0,139.0,142.5
Nicaragua,TFN,10.0,8.0,9.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,341.0,0.0,170.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,23.0,0.0,11.5
Paraguay,TFN,5.0,0.0,2.5
Poland,TCER,159.0,0.0,79.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,4132.0,2221.0,3176.5
Seychelles,TFR,523.0,351.0,437.0
Sierra Leone,TFR,1.0,0.0,0.5
South Africa,TFR,36473.0,38277.0,37375.0
Sri Lanka,TFR,227.0,865.0,546.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,232.0,495.0,363.5
Trinidad and Tobago,TFN,27.0,18.0,22.5
Turkey,TFN,3164.0,0.0,1582.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,203.0,0.0,101.5
United Arab Emirates,THSN,10304.0,42819.0,26561.5
United States of America,TFR,6841.0,6851.0,6846.0
Uzbekistan,VFR,10.0,0.0,5.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,161990.0,0.0,80995.0
Zimbabwe,VFR,58954.0,0.0,29477.0
