Destination,SERIES,2018,2019,Average
Albania,VFN,438.0,542.0,490.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,121.0,133.0,127.0
Antigua and Barbuda,TFR,39.0,0.0,19.5
Argentina,TFR,2669.0,0.0,1334.5
Armenia,TFR,826.0,0.0,413.0
Australia,VFR,99360.0,0.0,49680.0
Azerbaijan,VFR,630.0,1388.0,1009.0
Bahamas,TFR,325.0,241.0,283.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,36.0,0.0,18.0
Belarus,VFN,187.0,285.0,236.0
Belgium,TCER,25478.0,0.0,12739.0
Benin,TFR,28.0,0.0,14.0
Bhutan,TFN,3886.0,4086.0,3986.0
Botswana,TFR,194.0,0.0,97.0
Brazil,TFR,4146.0,4025.0,4085.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,5828.0,5730.0,5779.0
Bulgaria,TCER,2781.0,3530.0,3155.5
Cambodia,TFR,382317.0,0.0,191158.5
Canada,TFR,18577.0,0.0,9288.5
Cayman Islands,TFR,32.0,0.0,16.0
Chile,TFN,1336.0,1671.0,1503.5
China,VFN,832605.0,0.0,416302.5
Colombia,TFR,482.0,0.0,241.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,315.0,292.0,303.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,4.0,0.0,2.0
Dominican Republic,TFR,0.0,0.0,0.0
Ecuador,VFR,504.0,0.0,252.0
Egypt,VFN,16449.0,0.0,8224.5
El Salvador,TFN,121.0,167.0,144.0
Finland,TCER,19210.0,20943.0,20076.5
French Polynesia,TFR,243.0,200.0,221.5
Grenada,TFN,17.0,25.0,21.0
Guam,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,449559.0,352853.0,401206.0
India,TFN,166293.0,0.0,83146.5
Indonesia,VFN,124153.0,136699.0,130426.0
"Iran, Islamic Republic of",VFN,3672.0,0.0,1836.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,3378.0,0.0,1689.0
Italy,TFN,7999.0,9571.0,8785.0
Japan,VFN,1132160.0,1318977.0,1225568.5
Jordan,TFN,5866.0,0.0,2933.0
Kazakhstan,VFR,1897.0,1770.0,1833.5
"Korea, Republic of",VFN,558912.0,571610.0,565261.0
Kuwait,VFN,15389.0,0.0,7694.5
Lao People's Democratic Republic,VFN,1929934.0,2160300.0,2045117.0
Latvia,TCER,2077.0,1821.0,1949.0
Lebanon,TFN,544.0,592.0,568.0
Libya,VFN,0.0,0.0,0.0
"Macao, China",THSR,66637.0,67148.0,66892.5
Madagascar,TFN,497.0,0.0,248.5
Malaysia,TFN,1914692.0,1884306.0,1899499.0
Maldives,TFN,32436.0,0.0,16218.0
Mali,TFR,51.0,0.0,25.5
Mauritius,TFR,486.0,561.0,523.5
Mexico,TFR,2482.0,0.0,1241.0
Mongolia,TFN,2259.0,2631.0,2445.0
Morocco,TFN,4125.0,0.0,2062.5
Myanmar,TFN,1719350.0,1924581.0,1821965.5
Nepal,TFN,53250.0,41653.0,47451.5
New Zealand,VFR,31447.0,28378.0,29912.5
Nicaragua,TFN,59.0,50.0,54.5
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,50.0,0.0,25.0
Norway,TCER,22612.0,29189.0,25900.5
Oman,VFR,956.0,0.0,478.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,170.0,0.0,85.0
Panama,VFR,514.0,0.0,257.0
Paraguay,TFN,25.0,0.0,12.5
Peru,TFR,1919.0,0.0,959.5
Philippines,TFR,59793.0,61292.0,60542.5
Poland,TCER,7487.0,0.0,3743.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,53915.0,0.0,26957.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,879.0,0.0,439.5
Saudi Arabia,TFN,29040.0,15431.0,22235.5
Seychelles,TFR,256.0,272.0,264.0
Sierra Leone,TFR,10.0,0.0,5.0
Singapore,VFR,545650.0,528547.0,537098.5
Slovakia,TCEN,3512.0,3179.0,3345.5
South Africa,TFR,7811.0,7980.0,7895.5
Sri Lanka,TFR,9178.0,9861.0,9519.5
Suriname,TFR,0.0,0.0,0.0
Taiwan Province of China,TCER,276685.0,370556.0,323620.5
Tajikistan,VFR,102.0,0.0,51.0
"Tanzania, United Republic of",VFR,1458.0,0.0,729.0
Trinidad and Tobago,TFN,41.0,19.0,30.0
Turkey,TFN,53688.0,0.0,26844.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1212.0,0.0,606.0
United Arab Emirates,THSN,11268.0,66948.0,39108.0
United Kingdom,VFR,188978.0,184416.0,186697.0
United States of America,TFR,106878.0,111067.0,108972.5
Uzbekistan,VFR,1177.0,0.0,588.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,349310.0,509802.0,429556.0
Yemen,TFN,0.0,0.0,0.0
