Destination,SERIES,2018,2019,Average
Angola,TFR,22.0,52.0,37.0
Australia,VFR,4730.0,0.0,2365.0
Azerbaijan,VFR,0.0,9.0,4.5
Barbados,TFR,1.0,0.0,0.5
Belgium,TCER,116.0,0.0,58.0
Bhutan,TFN,0.0,31.0,15.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,3.0,2.0,2.5
Canada,TFR,291.0,0.0,145.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,806.0,0.0,403.0
Colombia,TFR,2.0,0.0,1.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,1.0,1.0
Ecuador,VFR,3.0,0.0,1.5
Finland,TCER,17.0,9.0,13.0
Indonesia,VFN,1762442.0,1178381.0,1470411.5
Israel,TFR,164.0,0.0,82.0
Italy,TFN,0.0,0.0,0.0
Japan,VFN,389.0,387.0,388.0
Jordan,TFN,76.0,0.0,38.0
Kazakhstan,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,1038.0,1257.0,1147.5
Kuwait,VFN,3.0,0.0,1.5
Malaysia,TFN,1150.0,1531.0,1340.5
Maldives,TFN,7.0,0.0,3.5
Mali,TFR,3.0,0.0,1.5
Mexico,TFR,12.0,0.0,6.0
Mongolia,TFN,7.0,11.0,9.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,178.0,238.0,208.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Poland,TCER,23.0,0.0,11.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Seychelles,TFR,1.0,1.0,1.0
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,12.0,22.0,17.0
Sri Lanka,TFR,48.0,25.0,36.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,31.0,0.0,15.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,55.0,533.0,294.0
United States of America,TFR,101.0,136.0,118.5
