Destination,SERIES,2018,2019,Average
Angola,TFR,98.0,36.0,67.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Armenia,TFR,24.0,0.0,12.0
Australia,VFR,20.0,0.0,10.0
Azerbaijan,VFR,8.0,11.0,9.5
Bahamas,TFR,1.0,2.0,1.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,7.0,40.0,23.5
Belgium,TCER,427.0,0.0,213.5
Benin,TFR,15600.0,0.0,7800.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,54.0,0.0,27.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,1.0,14.0,7.5
Burkina Faso,THSR,6714.0,0.0,3357.0
Canada,TFR,490.0,0.0,245.0
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,4517.0,0.0,2258.5
Colombia,TFR,12.0,0.0,6.0
Congo,THSR,624.0,0.0,312.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,11.0,19.0,15.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,8.0,0.0,4.0
Egypt,VFN,586.0,0.0,293.0
Finland,TCER,4.0,4.0,4.0
Ghana,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,353.0,0.0,176.5
Indonesia,VFN,94.0,140.0,117.0
Israel,TFR,322.0,0.0,161.0
Italy,TFN,0.0,272.0,136.0
Japan,VFN,108.0,173.0,140.5
Jordan,TFN,4.0,0.0,2.0
Kazakhstan,VFR,6.0,16.0,11.0
"Korea, Republic of",VFN,193.0,176.0,184.5
Kuwait,VFN,374.0,0.0,187.0
Lebanon,TFN,726.0,1013.0,869.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,111.0,0.0,55.5
Malaysia,TFN,152.0,137.0,144.5
Maldives,TFN,9.0,0.0,4.5
Mali,TFR,2447.0,0.0,1223.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,68.0,80.0,74.0
Mexico,TFR,198.0,0.0,99.0
Mongolia,TFN,32.0,48.0,40.0
Morocco,TFN,1319.0,0.0,659.5
New Zealand,VFR,18.0,5.0,11.5
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,13.0,0.0,6.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,13.0,0.0,6.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1750.0,276.0,1013.0
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,18.0,19.0,18.5
Sierra Leone,TFR,125.0,0.0,62.5
South Africa,TFR,600.0,637.0,618.5
Sri Lanka,TFR,10.0,39.0,24.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,254.0,0.0,127.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,4.0,0.0,2.0
Turkey,TFN,969.0,0.0,484.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,14.0,0.0,7.0
United Arab Emirates,THSN,126.0,1903.0,1014.5
United States of America,TFR,2296.0,2533.0,2414.5
