Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Australia,VFR,12640.0,0.0,6320.0
Azerbaijan,VFR,1.0,0.0,0.5
Bahamas,TFR,0.0,0.0,0.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,46.0,0.0,23.0
Bulgaria,TCER,9.0,4.0,6.5
Canada,TFR,71.0,0.0,35.5
Cayman Islands,TFR,1.0,0.0,0.5
China,VFN,1382.0,0.0,691.0
Colombia,TFR,3.0,0.0,1.5
Costa Rica,TFN,4.0,5.0,4.5
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,7.0,0.0,3.5
Finland,TCER,2.0,9.0,5.5
French Polynesia,TFR,43.0,41.0,42.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,89.0,0.0,44.5
Indonesia,VFN,139.0,138.0,138.5
Israel,TFR,43.0,0.0,21.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,325.0,503.0,414.0
Jordan,TFN,4.0,0.0,2.0
"Korea, Republic of",VFN,142.0,165.0,153.5
Kuwait,VFN,8.0,0.0,4.0
Lebanon,TFN,0.0,0.0,0.0
Malaysia,TFN,211.0,182.0,196.5
Maldives,TFN,2.0,0.0,1.0
Mauritius,TFR,5.0,2.0,3.5
Mexico,TFR,33.0,0.0,16.5
Mongolia,TFN,5.0,3.0,4.0
New Zealand,VFR,20956.0,21354.0,21155.0
Nicaragua,TFN,0.0,1.0,0.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Poland,TCER,9.0,0.0,4.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,5.0,3.0,4.0
Seychelles,TFR,0.0,1.0,0.5
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,33.0,25.0,29.0
Sri Lanka,TFR,10.0,7.0,8.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1.0,0.0,0.5
Turkey,TFN,9.0,0.0,4.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,3.0,0.0,1.5
United Arab Emirates,THSN,60.0,818.0,439.0
United States of America,TFR,2692.0,2764.0,2728.0
