Destination,SERIES,2018,2019,Average
Albania,VFN,21.0,37.0,29.0
Angola,TFR,883.0,90.0,486.5
Antigua and Barbuda,TFR,4093.0,0.0,2046.5
Aruba,TFR,1121.0,0.0,560.5
Australia,VFR,590.0,0.0,295.0
Azerbaijan,VFR,171.0,243.0,207.0
Bahamas,TFR,2183.0,2342.0,2262.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,32645.0,0.0,16322.5
Belarus,VFN,72.0,28.0,50.0
Belgium,TCER,365.0,0.0,182.5
Bhutan,TFN,3.0,7.0,5.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,52.0,0.0,26.0
Brazil,TFR,1049.0,1087.0,1068.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,42.0,35.0,38.5
Canada,TFR,27247.0,0.0,13623.5
Cayman Islands,TFR,749.0,0.0,374.5
Chile,TFN,260.0,238.0,249.0
China,VFN,3142.0,0.0,1571.0
Colombia,TFR,1914.0,0.0,957.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1212.0,1371.0,1291.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,4029.0,0.0,2014.5
Dominica,TFR,1808.0,0.0,904.0
Dominican Republic,TFR,2824.0,3621.0,3222.5
Ecuador,VFR,322.0,0.0,161.0
Egypt,VFN,357.0,0.0,178.5
El Salvador,TFN,125.0,157.0,141.0
Finland,TCER,66.0,64.0,65.0
Grenada,TFN,16356.0,17055.0,16705.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,19774.0,22456.0,21115.0
Haiti,TFR,0.0,99.0,49.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,2052.0,0.0,1026.0
Indonesia,VFN,447.0,450.0,448.5
Israel,TFR,552.0,0.0,276.0
Italy,TFN,0.0,548.0,274.0
Jamaica,TFR,11255.0,11637.0,11446.0
Japan,VFN,714.0,842.0,778.0
Jordan,TFN,133.0,0.0,66.5
Kazakhstan,VFR,18.0,11.0,14.5
"Korea, Republic of",VFN,319.0,411.0,365.0
Kuwait,VFN,89.0,0.0,44.5
Lebanon,TFN,109.0,107.0,108.0
Madagascar,TFN,11.0,0.0,5.5
Malaysia,TFN,625.0,619.0,622.0
Maldives,TFN,88.0,0.0,44.0
Mali,TFR,2.0,0.0,1.0
Mauritius,TFR,39.0,38.0,38.5
Mexico,TFR,6166.0,0.0,3083.0
Mongolia,TFN,5.0,5.0,5.0
Morocco,TFN,471.0,0.0,235.5
New Zealand,VFR,165.0,130.0,147.5
Nicaragua,TFN,72.0,88.0,80.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,8863.0,0.0,4431.5
Paraguay,TFN,6.0,0.0,3.0
Peru,TFR,581.0,0.0,290.5
Poland,TCER,288.0,0.0,144.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,17124.0,0.0,8562.0
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
Saudi Arabia,TFN,822.0,524.0,673.0
Seychelles,TFR,15.0,11.0,13.0
Sierra Leone,TFR,102.0,0.0,51.0
Sint Maarten (Dutch part),TFN,1261.0,0.0,630.5
South Africa,TFR,533.0,649.0,591.0
Sri Lanka,TFR,105.0,112.0,108.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,238.0,0.0,119.0
Thailand,TFR,0.0,0.0,0.0
Turkey,TFN,614.0,0.0,307.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,49.0,0.0,24.5
United Arab Emirates,THSN,869.0,3989.0,2429.0
United States of America,TFR,168447.0,188290.0,178368.5
United States Virgin Islands,THSN,24.0,60.0,42.0
Uzbekistan,VFR,8.0,0.0,4.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
