Destination,SERIES,2018,2019,Average
Albania,VFN,240.0,386.0,313.0
Algeria,VFN,1261411.0,1323709.0,1292560.0
Angola,TFR,468.0,429.0,448.5
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,89.0,0.0,44.5
Australia,VFR,210.0,0.0,105.0
Azerbaijan,VFR,307.0,353.0,330.0
Bahamas,TFR,30.0,13.0,21.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,14.0,0.0,7.0
Belarus,VFN,420.0,206.0,313.0
Belgium,TCER,4609.0,0.0,2304.5
Benin,TFR,2890.0,0.0,1445.0
Bhutan,TFN,0.0,5.0,2.5
Botswana,TFR,87.0,0.0,43.5
Brazil,TFR,1488.0,1728.0,1608.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,1226.0,799.0,1012.5
Cambodia,TFR,302.0,0.0,151.0
Canada,TFR,6613.0,0.0,3306.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,53.0,80.0,66.5
China,VFN,8484.0,0.0,4242.0
Colombia,TFR,158.0,0.0,79.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,90.0,121.0,105.5
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,44.0,0.0,22.0
Egypt,VFN,48620.0,0.0,24310.0
El Salvador,TFN,17.0,17.0,17.0
Finland,TCER,405.0,448.0,426.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,7083.0,0.0,3541.5
Indonesia,VFN,3867.0,4335.0,4101.0
"Iran, Islamic Republic of",VFN,887.0,0.0,443.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,1442.0,0.0,721.0
Italy,TFN,36068.0,52213.0,44140.5
Japan,VFN,2250.0,2573.0,2411.5
Jordan,TFN,5927.0,0.0,2963.5
Kazakhstan,VFR,88.0,91.0,89.5
"Korea, Republic of",VFN,1780.0,1779.0,1779.5
Kuwait,VFN,17988.0,0.0,8994.0
Latvia,TCER,82.0,99.0,90.5
Lebanon,TFN,8970.0,7444.0,8207.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,299.0,0.0,149.5
Malaysia,TFN,4724.0,5346.0,5035.0
Maldives,TFN,973.0,0.0,486.5
Mali,TFR,3647.0,0.0,1823.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,420.0,507.0,463.5
Mexico,TFR,682.0,0.0,341.0
Mongolia,TFN,24.0,43.0,33.5
Morocco,TFN,54811.0,0.0,27405.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,66.0,25.0,45.5
Nicaragua,TFN,10.0,9.0,9.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,1027.0,0.0,513.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,74.0,0.0,37.0
Paraguay,TFN,10.0,0.0,5.0
Poland,TCER,1659.0,0.0,829.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,125936.0,99600.0,112768.0
Seychelles,TFR,260.0,266.0,263.0
Sierra Leone,TFR,268.0,0.0,134.0
Slovakia,TCEN,590.0,760.0,675.0
South Africa,TFR,1026.0,1313.0,1169.5
Sri Lanka,TFR,712.0,878.0,795.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,797.0,832.0,814.5
"Tanzania, United Republic of",VFR,833.0,0.0,416.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,2655.0,4155.0,3405.0
Trinidad and Tobago,TFN,10.0,8.0,9.0
Turkey,TFN,142189.0,0.0,71094.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,2538.0,0.0,1269.0
United Arab Emirates,THSN,14276.0,50841.0,32558.5
United States of America,TFR,10051.0,10513.0,10282.0
Uzbekistan,VFR,161.0,0.0,80.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
