Destination,SERIES,2018,2019,Average
Albania,VFN,81342.0,92088.0,86715.0
Algeria,VFN,37578.0,32593.0,35085.5
Angola,TFR,826.0,738.0,782.0
Antigua and Barbuda,TFR,94.0,0.0,47.0
Argentina,TFR,7503.0,0.0,3751.5
Armenia,TFR,13185.0,0.0,6592.5
Australia,VFR,8380.0,0.0,4190.0
Austria,TCER,94501.0,95780.0,95140.5
Azerbaijan,VFR,291259.0,316404.0,303831.5
Bahamas,TFR,628.0,613.0,620.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,120.0,0.0,60.0
Belarus,VFN,35409.0,31059.0,33234.0
Belgium,TCER,50229.0,0.0,25114.5
Benin,TFR,88.0,0.0,44.0
Bhutan,TFN,156.0,109.0,132.5
Bosnia and Herzegovina,TCER,85416.0,0.0,42708.0
Botswana,TFR,533.0,0.0,266.5
Brazil,TFR,11711.0,11914.0,11812.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,126590.0,129780.0,128185.0
Cambodia,TFR,7427.0,0.0,3713.5
Canada,TFR,22388.0,0.0,11194.0
Cayman Islands,TFR,18.0,0.0,9.0
Chile,TFN,2388.0,2953.0,2670.5
China,VFN,74409.0,0.0,37204.5
Colombia,TFR,6951.0,0.0,3475.5
Comoros,TFN,0.0,0.0,0.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1012.0,1092.0,1052.0
Croatia,TCER,32372.0,36188.0,34280.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,87383.0,83454.0,85418.5
Dominica,TFR,36.0,0.0,18.0
Ecuador,VFR,923.0,0.0,461.5
Egypt,VFN,37280.0,0.0,18640.0
El Salvador,TFN,767.0,550.0,658.5
Estonia,TCER,6602.0,0.0,3301.0
Ethiopia,TFR,4486.0,0.0,2243.0
Finland,TCER,13443.0,12898.0,13170.5
Georgia,THSR,266143.0,0.0,133071.5
Germany,TCER,322326.0,343327.0,332826.5
Greece,TFR,929730.0,1093302.0,1011516.0
Grenada,TFN,11.0,11.0,11.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,112.0,103.0,107.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,14766.0,12035.0,13400.5
India,TFN,33825.0,0.0,16912.5
Indonesia,VFN,20861.0,23883.0,22372.0
"Iran, Islamic Republic of",VFN,775264.0,0.0,387632.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,38311.0,0.0,19155.5
Italy,TFN,256030.0,224175.0,240102.5
Jamaica,TFR,171.0,160.0,165.5
Japan,VFN,19762.0,22724.0,21243.0
Jordan,TFN,19621.0,0.0,9810.5
Kazakhstan,VFR,99351.0,121523.0,110437.0
"Korea, Republic of",VFN,29558.0,31293.0,30425.5
Kuwait,VFN,35072.0,0.0,17536.0
Kyrgyzstan,VFR,51917.0,0.0,25958.5
Latvia,TCER,9453.0,7619.0,8536.0
Lebanon,TFN,32744.0,33850.0,33297.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,150.0,192.0,171.0
Lithuania,TFR,0.0,0.0,0.0
Luxembourg,TCER,14961.0,0.0,7480.5
Madagascar,TFN,559.0,0.0,279.5
Malaysia,TFN,15406.0,15290.0,15348.0
Maldives,TFN,10129.0,0.0,5064.5
Mali,TFR,2222.0,0.0,1111.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,2600.0,3011.0,2805.5
Mexico,TFR,8293.0,0.0,4146.5
"Moldova, Republic of",TCEN,5511.0,6847.0,6179.0
Mongolia,TFN,2699.0,1874.0,2286.5
Montenegro,TCEN,43755.0,0.0,21877.5
Morocco,TFN,32967.0,0.0,16483.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,978.0,923.0,950.5
Nicaragua,TFN,192.0,267.0,229.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,111667.0,112472.0,112069.5
Norway,TCER,14775.0,12038.0,13406.5
Oman,VFR,3208.0,0.0,1604.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,4704.0,0.0,2352.0
Paraguay,TFN,490.0,0.0,245.0
Peru,TFR,3483.0,0.0,1741.5
Philippines,TFR,8615.0,8654.0,8634.5
Poland,TCER,32210.0,0.0,16105.0
Portugal,TCER,39863.0,37316.0,38589.5
Romania,TCER,51220.0,51925.0,51572.5
Russian Federation,VFN,83835.0,0.0,41917.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,1866.0,0.0,933.0
Saudi Arabia,TFN,573323.0,437259.0,505291.0
Serbia,TCEN,97084.0,107695.0,102389.5
Seychelles,TFR,2064.0,1755.0,1909.5
Sierra Leone,TFR,99.0,0.0,49.5
Singapore,VFR,0.0,0.0,0.0
Slovakia,TCEN,10209.0,9151.0,9680.0
Slovenia,TCEN,30071.0,28033.0,29052.0
South Africa,TFR,14586.0,14072.0,14329.0
Spain,TFR,289845.78152463585,269556.9792074015,279701.3803660187
Sri Lanka,TFR,4262.0,4972.0,4617.0
