Destination,SERIES,2018,2019,Average
Albania,VFN,37.0,18.0,27.5
Angola,TFR,0.0,18.0,9.0
Australia,VFR,20.0,0.0,10.0
Azerbaijan,VFR,28036.0,52092.0,40064.0
Bahamas,TFR,2.0,0.0,1.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,18016.0,15770.0,16893.0
Belgium,TCER,187.0,0.0,93.5
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,130.0,289.0,209.5
Canada,TFR,60.0,0.0,30.0
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,3.0,16.0,9.5
China,VFN,15244.0,0.0,7622.0
Colombia,TFR,10.0,0.0,5.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,6.0,5.0,5.5
Ecuador,VFR,4.0,0.0,2.0
Egypt,VFN,138.0,0.0,69.0
Finland,TCER,45.0,46.0,45.5
Georgia,THSR,1809.0,0.0,904.5
Guinea,TFR,0.0,0.0,0.0
India,TFN,25038.0,0.0,12519.0
Indonesia,VFN,426.0,356.0,391.0
"Iran, Islamic Republic of",VFN,148664.0,0.0,74332.0
Israel,TFR,170.0,0.0,85.0
Italy,TFN,544.0,0.0,272.0
Japan,VFN,315.0,898.0,606.5
Jordan,TFN,80.0,0.0,40.0
Kazakhstan,VFR,39942.0,25208.0,32575.0
"Korea, Republic of",VFN,376.0,706.0,541.0
Kuwait,VFN,242.0,0.0,121.0
Kyrgyzstan,VFR,1208.0,0.0,604.0
Latvia,TCER,369.0,173.0,271.0
Lebanon,TFN,235.0,363.0,299.0
Malaysia,TFN,1101.0,1283.0,1192.0
Maldives,TFN,54.0,0.0,27.0
Mali,TFR,90.0,0.0,45.0
Mauritius,TFR,13.0,6.0,9.5
Mexico,TFR,30.0,0.0,15.0
"Moldova, Republic of",TCEN,19.0,26.0,22.5
Mongolia,TFN,44.0,75.0,59.5
Morocco,TFN,2013.0,0.0,1006.5
New Zealand,VFR,4.0,10.0,7.0
Nicaragua,TFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,3.0,0.0,1.5
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,97.0,0.0,48.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1077.0,2801.0,1939.0
Seychelles,TFR,3.0,10.0,6.5
South Africa,TFR,13.0,6.0,9.5
Sri Lanka,TFR,77.0,96.0,86.5
Tajikistan,VFR,1257.0,0.0,628.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,3.0,1.0,2.0
Turkey,TFN,252907.0,0.0,126453.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,12629.0,0.0,6314.5
United Arab Emirates,THSN,3251.0,10183.0,6717.0
United States of America,TFR,1052.0,1017.0,1034.5
Uzbekistan,VFR,169922.0,0.0,84961.0
