Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,232.0,0.0,116.0
Australia,VFR,80.0,0.0,40.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,2402.0,1735.0,2068.5
Barbados,TFR,283.0,0.0,141.5
Belarus,VFN,0.0,8.0,4.0
Belgium,TCER,275.0,0.0,137.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,2015.0,0.0,1007.5
Cayman Islands,TFR,297.0,0.0,148.5
China,VFN,1.0,0.0,0.5
Colombia,TFR,15.0,0.0,7.5
Costa Rica,TFN,3.0,3.0,3.0
Dominica,TFR,17.0,0.0,8.5
Dominican Republic,TFR,2444.0,2430.0,2437.0
Ecuador,VFR,1.0,0.0,0.5
Finland,TCER,9.0,24.0,16.5
Grenada,TFN,36.0,23.0,29.5
Guyana,TFR,142.0,177.0,159.5
Haiti,TFR,0.0,82.0,41.0
India,TFN,4.0,0.0,2.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,3157.0,3280.0,3218.5
Kazakhstan,VFR,1.0,0.0,0.5
"Korea, Republic of",VFN,0.0,0.0,0.0
Malaysia,TFN,1.0,3.0,2.0
Mali,TFR,24.0,0.0,12.0
Mauritius,TFR,0.0,0.0,0.0
Mexico,TFR,1599.0,0.0,799.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,70.0,38.0,54.0
Nicaragua,TFN,0.0,0.0,0.0
Panama,VFR,4.0,0.0,2.0
Poland,TCER,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,109.0,0.0,54.5
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,20.0,28.0,24.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,64.0,186.0,125.0
United States of America,TFR,14789.0,20989.0,17889.0
Uzbekistan,VFR,0.0,0.0,0.0
