Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,250.0,0.0,125.0
Azerbaijan,VFR,0.0,2.0,1.0
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,34.0,0.0,17.0
Canada,TFR,35.0,0.0,17.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,0.0,0.0,0.0
China,VFN,177.0,0.0,88.5
Colombia,TFR,4.0,0.0,2.0
Costa Rica,TFN,0.0,0.0,0.0
Ecuador,VFR,66.0,0.0,33.0
Finland,TCER,1.0,6.0,3.5
Guyana,TFR,0.0,0.0,0.0
India,TFN,55.0,0.0,27.5
Indonesia,VFN,28.0,18.0,23.0
Israel,TFR,0.0,0.0,0.0
Japan,VFN,59.0,81.0,70.0
Jordan,TFN,2.0,0.0,1.0
Kiribati,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,313.0,115.0,214.0
Malaysia,TFN,78.0,9.0,43.5
Maldives,TFN,0.0,0.0,0.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,1.0,1.0,1.0
Mexico,TFR,68.0,0.0,34.0
Mongolia,TFN,2.0,0.0,1.0
New Zealand,VFR,539.0,565.0,552.0
Nicaragua,TFN,0.0,0.0,0.0
Palau,TFN,19.0,0.0,9.5
Panama,VFR,1.0,0.0,0.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Seychelles,TFR,2.0,0.0,1.0
South Africa,TFR,2.0,2.0,2.0
Sri Lanka,TFR,7.0,1.0,4.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,154.0,0.0,77.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,13.0,240.0,126.5
United States of America,TFR,57.0,57.0,57.0
