Destination,SERIES,2018,2019,Average
Angola,TFR,208.0,281.0,244.5
Antigua and Barbuda,TFR,16.0,0.0,8.0
Australia,VFR,920.0,0.0,460.0
Azerbaijan,VFR,48.0,73.0,60.5
Bahamas,TFR,12.0,16.0,14.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,43.0,0.0,21.5
Belarus,VFN,26.0,40.0,33.0
Belgium,TCER,493.0,0.0,246.5
Benin,TFR,255.0,0.0,127.5
Bhutan,TFN,0.0,20.0,10.0
Botswana,TFR,1581.0,0.0,790.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,35.0,144.0,89.5
Cambodia,TFR,166.0,0.0,83.0
Canada,TFR,2842.0,0.0,1421.0
Cayman Islands,TFR,30.0,0.0,15.0
China,VFN,19143.0,0.0,9571.5
Colombia,TFR,48.0,0.0,24.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,37.0,63.0,50.0
Dominica,TFR,10.0,0.0,5.0
Ecuador,VFR,28.0,0.0,14.0
Egypt,VFN,6002.0,0.0,3001.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,9392.0,0.0,4696.0
Finland,TCER,143.0,124.0,133.5
Grenada,TFN,17.0,28.0,22.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,7157.0,0.0,3578.5
Indonesia,VFN,1157.0,895.0,1026.0
"Iran, Islamic Republic of",VFN,174.0,0.0,87.0
Israel,TFR,2046.0,0.0,1023.0
Italy,TFN,164.0,2161.0,1162.5
Japan,VFN,843.0,1157.0,1000.0
Jordan,TFN,4165.0,0.0,2082.5
Kazakhstan,VFR,38.0,42.0,40.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,798.0,835.0,816.5
Kuwait,VFN,853.0,0.0,426.5
Latvia,TCER,39.0,24.0,31.5
Lebanon,TFN,529.0,527.0,528.0
Lesotho,VFR,372.0,678.0,525.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,174.0,0.0,87.0
Malaysia,TFN,2097.0,1647.0,1872.0
Maldives,TFN,79.0,0.0,39.5
Mali,TFR,246.0,0.0,123.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,676.0,824.0,750.0
Mexico,TFR,850.0,0.0,425.0
Mongolia,TFN,36.0,76.0,56.0
Morocco,TFN,563.0,0.0,281.5
New Zealand,VFR,130.0,92.0,111.0
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,29.0,0.0,14.5
Paraguay,TFN,17.0,0.0,8.5
Poland,TCER,827.0,0.0,413.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,2315.0,2254.0,2284.5
Seychelles,TFR,686.0,732.0,709.0
Sierra Leone,TFR,87.0,0.0,43.5
South Africa,TFR,13686.0,14795.0,14240.5
Sri Lanka,TFR,136.0,358.0,247.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,43394.0,0.0,21697.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,155.0,818.0,486.5
Trinidad and Tobago,TFN,17.0,35.0,26.0
Turkey,TFN,3544.0,0.0,1772.0
Ukraine,TFR,134.0,0.0,67.0
United Arab Emirates,THSN,7981.0,58926.0,33453.5
United States of America,TFR,11224.0,11563.0,11393.5
Uzbekistan,VFR,10.0,0.0,5.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,13875.0,0.0,6937.5
