Destination,SERIES,2018,2019,Average
Albania,VFN,32880.0,41788.0,37334.0
Angola,TFR,945.0,1069.0,1007.0
Argentina,TFR,4663.0,0.0,2331.5
Australia,VFR,3820.0,0.0,1910.0
Austria,TCER,147888.0,206846.0,177367.0
Azerbaijan,VFR,57640.0,59003.0,58321.5
Bahamas,TFR,1262.0,608.0,935.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,356.0,0.0,178.0
Belarus,VFN,1940355.0,1979003.0,1959679.0
Belgium,TCER,24900.0,0.0,12450.0
Bhutan,TFN,93.0,81.0,87.0
Bosnia and Herzegovina,TCER,1843.0,0.0,921.5
Botswana,TFR,95.0,0.0,47.5
Brazil,TFR,4851.0,6193.0,5522.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,93697.0,141707.0,117702.0
Cambodia,TFR,7424.0,0.0,3712.0
Canada,TFR,18711.0,0.0,9355.5
Cayman Islands,TFR,32.0,0.0,16.0
Chile,TFN,1961.0,2668.0,2314.5
China,VFN,180725.0,0.0,90362.5
Colombia,TFR,1078.0,0.0,539.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1769.0,1802.0,1785.5
Croatia,TCER,101054.0,134038.0,117546.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,69619.0,0.0,34809.5
Czech Republic,TCEN,211233.0,272082.0,241657.5
Dominica,TFR,33.0,0.0,16.5
Dominican Republic,TFR,15389.0,23263.0,19326.0
Ecuador,VFR,4738.0,0.0,2369.0
Egypt,VFN,1174234.0,0.0,587117.0
El Salvador,TFN,88.0,81.0,84.5
Estonia,TCER,17501.0,0.0,8750.5
Finland,TCER,10029.0,11852.0,10940.5
Georgia,THSR,186360.0,0.0,93180.0
Germany,TCER,222019.0,281307.0,251663.0
Greece,TFR,0.0,447122.0,223561.0
Grenada,TFN,38.0,55.0,46.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,68.0,119.0,93.5
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,260072.0,245543.0,252807.5
India,TFN,26260.0,0.0,13130.0
Indonesia,VFN,26697.0,35537.0,31117.0
"Iran, Islamic Republic of",VFN,6345.0,0.0,3172.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,137392.0,0.0,68696.0
Italy,TFN,277753.0,266733.0,272243.0
Jamaica,TFR,542.0,580.0,561.0
Japan,VFN,8458.0,10176.0,9317.0
Jordan,TFN,4863.0,0.0,2431.5
Kazakhstan,VFR,65780.0,61624.0,63702.0
"Korea, Republic of",VFN,25608.0,27667.0,26637.5
Kuwait,VFN,9660.0,0.0,4830.0
Kyrgyzstan,VFR,6971.0,0.0,3485.5
Latvia,TCER,39256.0,44004.0,41630.0
Lebanon,TFN,13311.0,13099.0,13205.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,369.0,501.0,435.0
Lithuania,TFR,110100.0,0.0,55050.0
Luxembourg,TCER,1231.0,0.0,615.5
Madagascar,TFN,774.0,0.0,387.0
Malaysia,TFN,14529.0,16019.0,15274.0
Maldives,TFN,11430.0,0.0,5715.0
Mali,TFR,498.0,0.0,249.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,2765.0,3622.0,3193.5
Mexico,TFR,15640.0,0.0,7820.0
