Destination,SERIES,2018,2019,Average
Albania,VFN,259.0,342.0,300.5
Angola,TFR,273.0,25.0,149.0
Antigua and Barbuda,TFR,19.0,0.0,9.5
Armenia,TFR,11901.0,0.0,5950.5
Australia,VFR,41770.0,0.0,20885.0
Austria,TCER,122232.0,114727.0,118479.5
Azerbaijan,VFR,93835.0,68289.0,81062.0
Bahamas,TFR,558.0,572.0,565.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,719.0,0.0,359.5
Belarus,VFN,1458.0,4234.0,2846.0
Belgium,TCER,25128.0,0.0,12564.0
Bhutan,TFN,29.0,36.0,32.5
Bosnia and Herzegovina,TCER,35255.0,0.0,17627.5
Botswana,TFR,438.0,0.0,219.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,166.0,129.0,147.5
Bulgaria,TCER,2346.0,2818.0,2582.0
Cambodia,TFR,248.0,0.0,124.0
Canada,TFR,36989.0,0.0,18494.5
Cayman Islands,TFR,32.0,0.0,16.0
Chile,TFN,186.0,242.0,214.0
China,VFN,9610.0,0.0,4805.0
Colombia,TFR,490.0,0.0,245.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,87.0,115.0,101.0
Cyprus,TFR,21136.0,0.0,10568.0
Czech Republic,TCEN,34715.0,30112.0,32413.5
Dominica,TFR,34.0,0.0,17.0
Ecuador,VFR,635.0,0.0,317.5
Egypt,VFN,65464.0,0.0,32732.0
Ethiopia,TFR,15440.0,0.0,7720.0
Finland,TCER,5476.0,9869.0,7672.5
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,15601.0,12712.0,14156.5
India,TFN,59971.0,0.0,29985.5
Indonesia,VFN,7100.0,9065.0,8082.5
"Iran, Islamic Republic of",VFN,4073.0,0.0,2036.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,110611.0,127719.0,119165.0
Japan,VFN,7782.0,8891.0,8336.5
Jordan,TFN,19051.0,0.0,9525.5
Kazakhstan,VFR,5253.0,8100.0,6676.5
"Korea, Republic of",VFN,11427.0,13226.0,12326.5
Kuwait,VFN,112457.0,0.0,56228.5
Latvia,TCER,953.0,1190.0,1071.5
Lebanon,TFN,1770.0,2868.0,2319.0
Libya,VFN,0.0,0.0,0.0
Malaysia,TFN,9386.0,11174.0,10280.0
Maldives,TFN,9018.0,0.0,4509.0
Mali,TFR,794.0,0.0,397.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,12058.0,13999.0,13028.5
Mexico,TFR,3069.0,0.0,1534.5
Mongolia,TFN,214.0,209.0,211.5
Morocco,TFN,21926.0,0.0,10963.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,10249.0,9935.0,10092.0
Nicaragua,TFN,6.0,6.0,6.0
Nigeria,VFN,0.0,0.0,0.0
Norway,TCER,18713.0,22012.0,20362.5
Oman,VFR,2076151.0,0.0,1038075.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,103.0,0.0,51.5
Paraguay,TFN,76.0,0.0,38.0
Philippines,TFR,15402.0,10192.0,12797.0
Poland,TCER,12388.0,0.0,6194.0
Portugal,TCER,0.0,0.0,0.0
Qatar,VFN,8466.0,9076.0,8771.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,739404.0,700619.0,720011.5
Serbia,TCEN,5777.0,4791.0,5284.0
Seychelles,TFR,25024.0,24609.0,24816.5
Sierra Leone,TFR,240.0,0.0,120.0
Singapore,VFR,76268.0,81530.0,78899.0
South Africa,TFR,2431.0,3077.0,2754.0
Spain,TFR,85617.60969737133,121066.84072816052,103342.22521276592
Sri Lanka,TFR,5785.0,3528.0,4656.5
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,313.0,627.0,470.0
Tajikistan,VFR,328.0,0.0,164.0
"Tanzania, United Republic of",VFR,5313.0,0.0,2656.5
Thailand,TFR,151137.0,0.0,75568.5
Togo,THSR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1.0,5.0,3.0
Tunisia,TFN,1612.0,1884.0,1748.0
Turkey,TFN,43287.0,0.0,21643.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,3544.0,0.0,1772.0
United Kingdom,VFR,511465.0,552899.0,532182.0
United States of America,TFR,112590.0,127007.0,119798.5
Uzbekistan,VFR,1580.0,0.0,790.0
Yemen,TFN,0.0,0.0,0.0
Zimbabwe,VFR,75.0,0.0,37.5
