Destination,SERIES,2018,2019,Average
Albania,VFN,126296.0,133175.0,129735.5
Algeria,VFN,9969.0,9114.0,9541.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,7744.0,8404.0,8074.0
Anguilla,TFR,2775.0,4077.0,3426.0
Antigua and Barbuda,TFR,70607.0,0.0,35303.5
Argentina,TFR,102117.0,0.0,51058.5
Armenia,TFR,10873.0,0.0,5436.5
Aruba,TFR,10546.0,0.0,5273.0
Australia,VFR,730310.0,0.0,365155.0
Austria,TCER,995677.0,966102.0,980889.5
Azerbaijan,VFR,29399.0,36850.0,33124.5
Bahamas,TFR,36170.0,36741.0,36455.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,220454.0,0.0,110227.0
Belarus,VFN,18591.0,19126.0,18858.5
Belgium,TCER,977338.0,0.0,488669.0
Belize,TFN,15002.0,0.0,7501.0
Bermuda,TFR,20955.0,21641.0,21298.0
Bhutan,TFN,3585.0,4241.0,3913.0
"Bolivia, Plurinational State of",TFN,19241.0,0.0,9620.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,14202.0,0.0,7101.0
Botswana,TFR,30893.0,0.0,15446.5
Brazil,TFR,154586.0,163425.0,159005.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,11966.0,14198.0,13082.0
Bulgaria,TCER,293268.0,340175.0,316721.5
Burkina Faso,THSR,1082.0,0.0,541.0
Cabo Verde,THSR,174078.0,196557.0,185317.5
Cambodia,TFR,162395.0,0.0,81197.5
Cameroon,THSN,26138.0,0.0,13069.0
Canada,TFR,791550.0,0.0,395775.0
Cayman Islands,TFR,13754.0,0.0,6877.0
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,57988.0,59311.0,58649.5
China,VFN,607846.0,0.0,303923.0
Colombia,TFR,51540.0,0.0,25770.0
Comoros,TFN,90.0,942.0,516.0
Congo,THSR,3251.0,0.0,1625.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,2911.0,2811.0,2861.0
Costa Rica,TFN,74338.0,78562.0,76450.0
Croatia,TCER,821114.0,859189.0,840151.5
Cuba,VFR,167370.0,0.0,83685.0
Curaçao,TFR,2826.0,0.0,1413.0
Cyprus,TFR,1327805.0,0.0,663902.5
Czech Republic,TCEN,494939.0,495728.0,495333.5
Denmark,TCER,942006.0,977037.0,959521.5
Dominica,TFR,3713.0,0.0,1856.5
Dominican Republic,TFR,186411.0,157485.0,171948.0
Ecuador,VFR,31318.0,0.0,15659.0
Egypt,VFN,435772.0,0.0,217886.0
El Salvador,TFN,2770.0,2173.0,2471.5
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,62296.0,0.0,31148.0
Eswatini,THSR,8399.0,0.0,4199.5
Ethiopia,TFR,42725.0,0.0,21362.5
Fiji,TFR,16297.0,16856.0,16576.5
Finland,TCER,229992.0,220272.0,225132.0
French Polynesia,TFR,4382.0,4424.0,4403.0
Gambia,TFN,52103.0,0.0,26051.5
Georgia,THSR,31966.0,0.0,15983.0
Germany,TCER,2679009.0,2552384.0,2615696.5
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,2942763.0,3499325.0,3221044.0
Grenada,TFN,22753.0,22520.0,22636.5
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,7630.0,8453.0,8041.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,452436.0,402090.0,427263.0
Hungary,TFN,788988.0,895660.0,842324.0
Iceland,TFN,297963.0,261804.0,279883.5
India,TFN,1029757.0,0.0,514878.5
Indonesia,VFN,392113.0,397624.0,394868.5
"Iran, Islamic Republic of",VFN,9585.0,0.0,4792.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,4797000.0,0.0,2398500.0
Israel,TFR,218012.0,0.0,109006.0
Italy,TFN,5658509.0,6006435.0,5832472.0
Jamaica,TFR,215584.0,225037.0,220310.5
Japan,VFN,333979.0,504107.0,419043.0
Jordan,TFN,37378.0,0.0,18689.0
Kazakhstan,VFR,21482.0,23155.0,22318.5
Kenya,VFR,0.0,0.0,0.0
Kiribati,TFN,168.0,0.0,84.0
"Korea, Republic of",VFN,130977.0,143676.0,137326.5
Kuwait,VFN,74074.0,0.0,37037.0
Kyrgyzstan,VFR,7357.0,0.0,3678.5
Lao People's Democratic Republic,VFN,26801.0,31976.0,29388.5
Latvia,TCER,108271.0,107950.0,108110.5
Lebanon,TFN,75309.0,74177.0,74743.0
