Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,986.0,0.0,493.0
Armenia,TFR,0.0,0.0,0.0
Australia,VFR,0.0,0.0,0.0
Bahamas,TFR,16.0,10.0,13.0
Barbados,TFR,283.0,0.0,141.5
Belgium,TCER,128.0,0.0,64.0
Bonaire,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,411.0,0.0,205.5
Cayman Islands,TFR,44.0,0.0,22.0
Colombia,TFR,2.0,0.0,1.0
Costa Rica,TFN,0.0,0.0,0.0
Dominica,TFR,2671.0,0.0,1335.5
Dominican Republic,TFR,707.0,467.0,587.0
Ecuador,VFR,3.0,0.0,1.5
Finland,TCER,116.0,7.0,61.5
Grenada,TFN,174.0,178.0,176.0
Guyana,TFR,69.0,75.0,72.0
India,TFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,0.0,0.0,0.0
Mexico,TFR,17.0,0.0,8.5
New Zealand,VFR,3.0,21.0,12.0
Nicaragua,TFN,0.0,0.0,0.0
Panama,VFR,2.0,0.0,1.0
Poland,TCER,0.0,0.0,0.0
Puerto Rico,TFR,5400.0,0.0,2700.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,969.0,0.0,484.5
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,95.0,116.0,105.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,24.0,298.0,161.0
