Destination,SERIES,2018,2019,Average
Albania,VFN,116978.0,119179.0,118078.5
Algeria,VFN,8662.0,6382.0,7522.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,6808.0,6659.0,6733.5
Anguilla,TFR,30634.0,63236.0,46935.0
Antigua and Barbuda,TFR,104103.0,0.0,52051.5
Argentina,TFR,419845.0,0.0,209922.5
Armenia,TFR,90661.0,0.0,45330.5
Aruba,TFR,742016.0,0.0,371008.0
Australia,VFR,789380.0,0.0,394690.0
Austria,TCER,809175.0,858134.0,833654.5
Azerbaijan,VFR,17507.0,18759.0,18133.0
Bahamas,TFR,1296912.0,1469445.0,1383178.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,204805.0,0.0,102402.5
Belarus,VFN,21009.0,23989.0,22499.0
Belgium,TCER,426336.0,0.0,213168.0
Belize,TFN,320221.0,0.0,160110.5
Benin,TFR,4529.0,0.0,2264.5
Bermuda,TFR,214499.0,202460.0,208479.5
Bhutan,TFN,10561.0,11707.0,11134.0
"Bolivia, Plurinational State of",TFN,58841.0,0.0,29420.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,28187.0,0.0,14093.5
Botswana,TFR,57375.0,0.0,28687.5
Brazil,TFR,538532.0,590520.0,564526.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,4137.0,4375.0,4256.0
Bulgaria,TCER,60383.0,64170.0,62276.5
Burkina Faso,THSR,4091.0,0.0,2045.5
Cabo Verde,THSR,6886.0,8662.0,7774.0
Cambodia,TFR,250813.0,0.0,125406.5
Cameroon,THSN,22652.0,0.0,11326.0
Canada,TFR,14440353.0,0.0,7220176.5
Cayman Islands,TFR,385319.0,0.0,192659.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,222355.0,224741.0,223548.0
China,VFN,2483554.0,0.0,1241777.0
Colombia,TFR,647784.0,0.0,323892.0
Congo,THSR,1805.0,0.0,902.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,7963.0,8476.0,8219.5
Costa Rica,TFN,1265067.0,1334777.0,1299922.0
Croatia,TCER,558751.0,626035.0,592393.0
Cuba,VFR,637907.0,0.0,318953.5
Curaçao,TFR,73259.0,0.0,36629.5
Cyprus,TFR,37421.0,0.0,18710.5
Czech Republic,TCEN,554394.0,584627.0,569510.5
Denmark,TCER,780069.0,849843.0,814956.0
