Destination,SERIES,2018,2019,Average
Albania,VFN,157.0,286.0,221.5
Angola,TFR,81.0,102.0,91.5
Antigua and Barbuda,TFR,22.0,0.0,11.0
Argentina,TFR,719134.0,0.0,359567.0
Armenia,TFR,244.0,0.0,122.0
Aruba,TFR,2262.0,0.0,1131.0
Australia,VFR,2810.0,0.0,1405.0
Azerbaijan,VFR,9.0,53.0,31.0
Bahamas,TFR,739.0,834.0,786.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,83.0,0.0,41.5
Belarus,VFN,92.0,77.0,84.5
Belgium,TCER,2906.0,0.0,1453.0
Benin,TFR,65.0,0.0,32.5
Bhutan,TFN,10.0,10.0,10.0
"Bolivia, Plurinational State of",TFN,7283.0,0.0,3641.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,74.0,0.0,37.0
Brazil,TFR,348336.0,364830.0,356583.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,485.0,529.0,507.0
Cambodia,TFR,1347.0,0.0,673.5
Canada,TFR,4318.0,0.0,2159.0
Cayman Islands,TFR,31.0,0.0,15.5
Chile,TFN,69647.0,57677.0,63662.0
China,VFN,4864.0,0.0,2432.0
Colombia,TFR,18218.0,0.0,9109.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,4392.0,5041.0,4716.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,4.0,0.0,2.0
Dominican Republic,TFR,27436.0,24968.0,26202.0
Ecuador,VFR,4882.0,0.0,2441.0
Egypt,VFN,1765.0,0.0,882.5
El Salvador,TFN,784.0,719.0,751.5
Finland,TCER,784.0,1104.0,944.0
French Polynesia,TFR,0.0,0.0,0.0
Georgia,THSR,1.0,0.0,0.5
Grenada,TFN,34.0,20.0,27.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,32.0,41.0,36.5
Haiti,TFR,0.0,37.0,18.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,2409.0,0.0,1204.5
Indonesia,VFN,1934.0,2063.0,1998.5
"Iran, Islamic Republic of",VFN,64.0,0.0,32.0
Israel,TFR,3810.0,0.0,1905.0
Italy,TFN,19237.0,26988.0,23112.5
Jamaica,TFR,862.0,1526.0,1194.0
Japan,VFN,2108.0,2475.0,2291.5
Jordan,TFN,411.0,0.0,205.5
Kazakhstan,VFR,29.0,20.0,24.5
"Korea, Republic of",VFN,373.0,715.0,544.0
Kuwait,VFN,41.0,0.0,20.5
Latvia,TCER,141.0,152.0,146.5
Lebanon,TFN,225.0,500.0,362.5
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,1093.0,1057.0,1075.0
Maldives,TFN,147.0,0.0,73.5
Mali,TFR,8.0,0.0,4.0
Mauritius,TFR,121.0,92.0,106.5
Mexico,TFR,46355.0,0.0,23177.5
Mongolia,TFN,44.0,80.0,62.0
Morocco,TFN,1814.0,0.0,907.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,1922.0,2004.0,1963.0
Nicaragua,TFN,531.0,564.0,547.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,68.0,0.0,34.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,12812.0,0.0,6406.0
Paraguay,TFN,18432.0,0.0,9216.0
Peru,TFR,22932.0,0.0,11466.0
Poland,TCER,759.0,0.0,379.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,82.0,125.0,103.5
Seychelles,TFR,56.0,43.0,49.5
Sierra Leone,TFR,2.0,0.0,1.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,2144.0,1687.0,1915.5
Sri Lanka,TFR,120.0,122.0,121.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,3006.0,0.0,1503.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,39.0,45.0,42.0
Trinidad and Tobago,TFN,87.0,103.0,95.0
Turkey,TFN,4325.0,0.0,2162.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,113.0,0.0,56.5
United Arab Emirates,THSN,739.0,2542.0,1640.5
United States of America,TFR,83074.0,80883.0,81978.5
United States Virgin Islands,THSN,5.0,2.0,3.5
Uzbekistan,VFR,10.0,0.0,5.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
