Destination,SERIES,2018,2019,Average
Albania,VFN,52.0,63.0,57.5
Angola,TFR,0.0,150.0,75.0
Australia,VFR,470.0,0.0,235.0
Azerbaijan,VFR,18288.0,23471.0,20879.5
Bahamas,TFR,14.0,44.0,29.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,9.0,0.0,4.5
Belarus,VFN,21551.0,25848.0,23699.5
Belgium,TCER,348.0,0.0,174.0
Bhutan,TFN,1.0,1.0,1.0
Botswana,TFR,13.0,0.0,6.5
Bulgaria,TCER,925.0,1081.0,1003.0
Cambodia,TFR,551.0,0.0,275.5
Canada,TFR,315.0,0.0,157.5
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,11.0,10.0,10.5
China,VFN,41025.0,0.0,20512.5
Colombia,TFR,27.0,0.0,13.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,29.0,21.0,25.0
Cuba,VFR,0.0,0.0,0.0
Ecuador,VFR,41.0,0.0,20.5
Egypt,VFN,9161.0,0.0,4580.5
El Salvador,TFN,6.0,6.0,6.0
Finland,TCER,173.0,230.0,201.5
Georgia,THSR,1592.0,0.0,796.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,6.0,3.0,4.5
India,TFN,21686.0,0.0,10843.0
Indonesia,VFN,3548.0,3756.0,3652.0
"Iran, Islamic Republic of",VFN,2240.0,0.0,1120.0
Israel,TFR,3827.0,0.0,1913.5
Italy,TFN,1242.0,1001.0,1121.5
Japan,VFN,5530.0,5243.0,5386.5
Jordan,TFN,412.0,0.0,206.0
Kazakhstan,VFR,4351413.0,3591077.5,3971245.25
"Korea, Republic of",VFN,82984.0,88276.0,85630.0
Kuwait,VFN,1485.0,0.0,742.5
Kyrgyzstan,VFR,3295804.0,0.0,1647902.0
Latvia,TCER,6944.0,5018.0,5981.0
Lebanon,TFN,731.0,713.0,722.0
Malaysia,TFN,11665.0,12031.0,11848.0
Maldives,TFN,640.0,0.0,320.0
Mali,TFR,5.0,0.0,2.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,52.0,69.0,60.5
Mexico,TFR,1118.0,0.0,559.0
"Moldova, Republic of",TCEN,255.0,419.0,337.0
Mongolia,TFN,118.0,244.0,181.0
Morocco,TFN,208.0,0.0,104.0
New Zealand,VFR,55.0,72.0,63.5
Nicaragua,TFN,0.0,68.0,34.0
Oman,VFR,68.0,0.0,34.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,12.0,0.0,6.0
Paraguay,TFN,4.0,0.0,2.0
Poland,TCER,1880.0,0.0,940.0
Russian Federation,VFN,219175.0,0.0,109587.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,31207.0,56438.0,43822.5
Seychelles,TFR,48.0,54.0,51.0
South Africa,TFR,174.0,128.0,151.0
Sri Lanka,TFR,596.0,539.0,567.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,733153.0,0.0,366576.5
"Tanzania, United Republic of",VFR,26.0,0.0,13.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,2.0,3.0,2.5
Turkey,TFN,241231.0,0.0,120615.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,25827.0,0.0,12913.5
United Arab Emirates,THSN,15472.0,51279.0,33375.5
United States of America,TFR,9339.0,7412.0,8375.5
