Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Armenia,TFR,8.0,0.0,4.0
Australia,VFR,14580.0,0.0,7290.0
Azerbaijan,VFR,1.0,6.0,3.5
Bahamas,TFR,1.0,3.0,2.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,0.0,6.0,3.0
Belgium,TCER,45.0,0.0,22.5
Bhutan,TFN,0.0,10.0,5.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,140.0,0.0,70.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,826.0,0.0,413.0
Colombia,TFR,34.0,0.0,17.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,4.0,2.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,677.0,0.0,338.5
Finland,TCER,16.0,20.0,18.0
Guinea,TFR,0.0,0.0,0.0
India,TFN,35.0,0.0,17.5
Indonesia,VFN,130.0,191.0,160.5
Israel,TFR,37.0,0.0,18.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,117.0,231.0,174.0
Jordan,TFN,61.0,0.0,30.5
"Korea, Republic of",VFN,263.0,196.0,229.5
Kuwait,VFN,2.0,0.0,1.0
Lebanon,TFN,23.0,40.0,31.5
Malaysia,TFN,303.0,626.0,464.5
Maldives,TFN,22.0,0.0,11.0
Mali,TFR,6.0,0.0,3.0
Mauritius,TFR,6.0,8.0,7.0
Mexico,TFR,28.0,0.0,14.0
Mongolia,TFN,7.0,11.0,9.0
Morocco,TFN,1340.0,0.0,670.0
Nepal,TFN,0.0,0.0,0.0
New Caledonia,TFR,3910.0,3887.0,3898.5
New Zealand,VFR,6870.0,8035.0,7452.5
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Paraguay,TFN,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Seychelles,TFR,0.0,0.0,0.0
Solomon Islands,TFR,978.0,1302.0,1140.0
South Africa,TFR,3.0,4.0,3.5
Sri Lanka,TFR,17.0,6.0,11.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,56.0,0.0,28.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,61.0,0.0,30.5
United Arab Emirates,THSN,54.0,236.0,145.0
United States of America,TFR,236.0,249.0,242.5
Uzbekistan,VFR,1.0,0.0,0.5
