Destination,SERIES,2018,2019,Average
Albania,VFN,244.0,256.0,250.0
Angola,TFR,593.0,447.0,520.0
Antigua and Barbuda,TFR,381.0,0.0,190.5
Argentina,TFR,73904.0,0.0,36952.0
Armenia,TFR,67.0,0.0,33.5
Aruba,TFR,50582.0,0.0,25291.0
Australia,VFR,1260.0,0.0,630.0
Azerbaijan,VFR,301.0,406.0,353.5
Bahamas,TFR,1267.0,1120.0,1193.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1031.0,0.0,515.5
Belarus,VFN,590.0,498.0,544.0
Belgium,TCER,1515.0,0.0,757.5
Benin,TFR,106.0,0.0,53.0
Bhutan,TFN,8.0,15.0,11.5
"Bolivia, Plurinational State of",TFN,14255.0,0.0,7127.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,52.0,0.0,26.0
Brazil,TFR,40761.0,40160.0,40460.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,347.0,373.0,360.0
Cambodia,TFR,356.0,0.0,178.0
Canada,TFR,7473.0,0.0,3736.5
Cayman Islands,TFR,196.0,0.0,98.0
Chile,TFN,241067.0,162146.0,201606.5
China,VFN,23842.0,0.0,11921.0
Colombia,TFR,398587.0,0.0,199293.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,33197.0,31924.0,32560.5
Cuba,VFR,23060.0,0.0,11530.0
Curaçao,TFR,16081.0,0.0,8040.5
Dominica,TFR,141.0,0.0,70.5
Dominican Republic,TFR,95250.0,101791.0,98520.5
Ecuador,VFR,944866.0,0.0,472433.0
Egypt,VFN,1416.0,0.0,708.0
El Salvador,TFN,3331.0,2478.0,2904.5
Finland,TCER,247.0,353.0,300.0
French Polynesia,TFR,0.0,0.0,0.0
Grenada,TFN,399.0,242.0,320.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,1107.0,1918.0,1512.5
Haiti,TFR,0.0,229.0,114.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,5492.0,4670.0,5081.0
India,TFN,1681.0,0.0,840.5
Indonesia,VFN,1602.0,1548.0,1575.0
"Iran, Islamic Republic of",VFN,349.0,0.0,174.5
Israel,TFR,1294.0,0.0,647.0
Italy,TFN,9775.0,3955.0,6865.0
Jamaica,TFR,476.0,429.0,452.5
Japan,VFN,1707.0,1831.0,1769.0
Jordan,TFN,689.0,0.0,344.5
Kazakhstan,VFR,769.0,654.0,711.5
"Korea, Republic of",VFN,1961.0,1982.0,1971.5
Kuwait,VFN,1844.0,0.0,922.0
Latvia,TCER,81.0,73.0,77.0
Lebanon,TFN,12232.0,12052.0,12142.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,17.0,0.0,8.5
Malaysia,TFN,1408.0,1395.0,1401.5
Maldives,TFN,291.0,0.0,145.5
Mali,TFR,38.0,0.0,19.0
Martinique,TFR,0.0,0.0,0.0
Mauritius,TFR,36.0,30.0,33.0
Mexico,TFR,52853.0,0.0,26426.5
Monaco,THSN,0.0,0.0,0.0
Mongolia,TFN,23.0,132.0,77.5
Morocco,TFN,1674.0,0.0,837.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,87.0,81.0,84.0
Nicaragua,TFN,1218.0,4913.0,3065.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,136.0,0.0,68.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,105678.0,0.0,52839.0
Paraguay,TFN,3816.0,0.0,1908.0
Peru,TFR,367739.0,0.0,183869.5
Philippines,TFR,423.0,702.0,562.5
Poland,TCER,900.0,0.0,450.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,2029.0,1014.5
Seychelles,TFR,13.0,16.0,14.5
Sierra Leone,TFR,10.0,0.0,5.0
Singapore,VFR,0.0,0.0,0.0
Sint Maarten (Dutch part),TFN,870.0,0.0,435.0
South Africa,TFR,1004.0,878.0,941.0
Spain,TFR,63999.12492648575,91918.02322200168,77958.57407424372
Sri Lanka,TFR,227.0,176.0,201.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,3502.0,3711.0,3606.5
Tajikistan,VFR,6.0,0.0,3.0
"Tanzania, United Republic of",VFR,284.0,0.0,142.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,58.0,105.0,81.5
Trinidad and Tobago,TFN,10594.0,4997.0,7795.5
Turkey,TFN,9113.0,0.0,4556.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,223.0,0.0,111.5
United Arab Emirates,THSN,4483.0,17781.0,11132.0
United Kingdom,VFR,0.0,0.0,0.0
United States of America,TFR,501572.0,400530.0,451051.0
United States Virgin Islands,THSN,15.0,55.0,35.0
Uruguay,VFN,16513.0,0.0,8256.5
Uzbekistan,VFR,61.0,0.0,30.5
