Destination,SERIES,2018,2019,Average
Albania,VFN,173.0,217.0,195.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,2582.0,2810.0,2696.0
Antigua and Barbuda,TFR,3.0,0.0,1.5
Armenia,TFR,66.0,0.0,33.0
Australia,VFR,110800.0,0.0,55400.0
Azerbaijan,VFR,322.0,728.0,525.0
Bahamas,TFR,40.0,19.0,29.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,1072.0,1045.0,1058.5
Belgium,TCER,5591.0,0.0,2795.5
Benin,TFR,11.0,0.0,5.5
Bhutan,TFN,1961.0,2072.0,2016.5
Botswana,TFR,29.0,0.0,14.5
Brunei Darussalam,TFN,4048.0,5544.0,4796.0
Bulgaria,TCER,1805.0,2129.0,1967.0
Cambodia,TFR,800128.0,0.0,400064.0
Canada,TFR,32824.0,0.0,16412.0
Cayman Islands,TFR,6.0,0.0,3.0
Chile,TFN,814.0,1252.0,1033.0
China,VFN,7587932.0,0.0,3793966.0
Colombia,TFR,197.0,0.0,98.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,222.0,211.0,216.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,91.0,0.0,45.5
Ecuador,VFR,365.0,0.0,182.5
Egypt,VFN,3024.0,0.0,1512.0
El Salvador,TFN,38.0,47.0,42.5
Finland,TCER,2025.0,3239.0,2632.0
Grenada,TFN,22.0,16.0,19.0
Guam,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,53866.0,41793.0,47829.5
India,TFN,31427.0,0.0,15713.5
Indonesia,VFN,75816.0,96024.0,85920.0
"Iran, Islamic Republic of",VFN,757.0,0.0,378.5
Israel,TFR,4691.0,0.0,2345.5
Italy,TFN,6332.0,7207.0,6769.5
Japan,VFN,389004.0,495051.0,442027.5
Jordan,TFN,696.0,0.0,348.0
Kazakhstan,VFR,340.0,382.0,361.0
"Korea, Republic of",VFN,457818.0,553731.0,505774.5
Kuwait,VFN,4108.0,0.0,2054.0
Lao People's Democratic Republic,VFN,867585.0,924875.0,896230.0
Latvia,TCER,287.0,434.0,360.5
Lebanon,TFN,166.0,131.0,148.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,96.0,0.0,48.0
Malaysia,TFN,375578.0,400346.0,387962.0
Maldives,TFN,5550.0,0.0,2775.0
Mali,TFR,46.0,0.0,23.0
Mauritius,TFR,740.0,652.0,696.0
Mexico,TFR,2091.0,0.0,1045.5
Mongolia,TFN,704.0,1061.0,882.5
Morocco,TFN,933.0,0.0,466.5
Myanmar,TFN,53329.0,52567.0,52948.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,9541.0,9006.0,9273.5
Nicaragua,TFN,19.0,34.0,26.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Oman,VFR,68.0,0.0,34.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,562.0,0.0,281.0
Paraguay,TFN,14.0,0.0,7.0
Peru,TFR,776.0,0.0,388.0
Philippines,TFR,52334.0,66698.0,59516.0
Poland,TCER,2827.0,0.0,1413.5
Russian Federation,VFN,53753.0,0.0,26876.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,154.0,0.0,77.0
Saudi Arabia,TFN,653.0,611.0,632.0
Seychelles,TFR,78.0,168.0,123.0
Sierra Leone,TFR,1.0,0.0,0.5
Singapore,VFR,591614.0,591946.0,591780.0
Slovakia,TCEN,1286.0,3023.0,2154.5
South Africa,TFR,3427.0,3208.0,3317.5
Sri Lanka,TFR,3189.0,2643.0,2916.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,52.0,0.0,26.0
"Tanzania, United Republic of",VFR,881.0,0.0,440.5
Thailand,TFR,1053723.0,0.0,526861.5
Trinidad and Tobago,TFN,10.0,35.0,22.5
Turkey,TFN,9534.0,0.0,4767.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,3458.0,0.0,1729.0
United Arab Emirates,THSN,12212.0,31685.0,21948.5
United States of America,TFR,122512.0,132796.0,127654.0
Uzbekistan,VFR,224.0,0.0,112.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
