Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,22.0,11.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Armenia,TFR,144.0,0.0,72.0
Australia,VFR,30.0,0.0,15.0
Azerbaijan,VFR,4075.0,3865.0,3970.0
Bahamas,TFR,2.0,1.0,1.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,133.0,120.0,126.5
Belgium,TCER,198.0,0.0,99.0
Bhutan,TFN,1.0,3.0,2.0
Botswana,TFR,113.0,0.0,56.5
Bulgaria,TCER,266.0,143.0,204.5
Cambodia,TFR,653.0,0.0,326.5
Canada,TFR,174.0,0.0,87.0
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,9.0,7.0,8.0
China,VFN,14472.0,0.0,7236.0
Colombia,TFR,22.0,0.0,11.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,6.0,4.0,5.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,4.0,0.0,2.0
Ecuador,VFR,259.0,0.0,129.5
Egypt,VFN,164586.0,0.0,82293.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,10274.0,0.0,5137.0
Finland,TCER,27.0,125.0,76.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
India,TFN,21674.0,0.0,10837.0
Indonesia,VFN,10008.0,9221.0,9614.5
"Iran, Islamic Republic of",VFN,790.0,0.0,395.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,21.0,0.0,10.5
Italy,TFN,0.0,64.0,32.0
Japan,VFN,373.0,511.0,442.0
Jordan,TFN,31524.0,0.0,15762.0
Kazakhstan,VFR,54.0,101.0,77.5
"Korea, Republic of",VFN,1138.0,723.0,930.5
Kuwait,VFN,12378.0,0.0,6189.0
Latvia,TCER,7.0,14.0,10.5
Lebanon,TFN,4658.0,5441.0,5049.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,47.0,0.0,23.5
Malaysia,TFN,26659.0,27730.0,27194.5
Maldives,TFN,663.0,0.0,331.5
Mali,TFR,4.0,0.0,2.0
Mauritius,TFR,31.0,45.0,38.0
Mexico,TFR,9262.0,0.0,4631.0
Mongolia,TFN,32.0,553.0,292.5
Morocco,TFN,1061.0,0.0,530.5
New Zealand,VFR,6.0,16.0,11.0
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,3833.0,0.0,1916.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,3.0,0.0,1.5
Poland,TCER,148.0,0.0,74.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,106375.0,257433.0,181904.0
Seychelles,TFR,45.0,39.0,42.0
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,802.0,796.0,799.0
Sri Lanka,TFR,1367.0,1114.0,1240.5
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,785.0,1201.0,993.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,942.0,0.0,471.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,26.0,0.0,13.0
Trinidad and Tobago,TFN,0.0,2.0,1.0
Tunisia,TFN,783.0,720.0,751.5
Turkey,TFN,39539.0,0.0,19769.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,568.0,0.0,284.0
United Arab Emirates,THSN,0.0,0.0,0.0
United States of America,TFR,722.0,779.0,750.5
Uzbekistan,VFR,109.0,0.0,54.5
