Destination,SERIES,2018,2019,Average
Angola,TFR,583.0,677.0,630.0
Antigua and Barbuda,TFR,6.0,0.0,3.0
Armenia,TFR,20.0,0.0,10.0
Australia,VFR,1590.0,0.0,795.0
Azerbaijan,VFR,8.0,45.0,26.5
Bahamas,TFR,11.0,28.0,19.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,15.0,0.0,7.5
Belarus,VFN,11.0,62.0,36.5
Belgium,TCER,209.0,0.0,104.5
Benin,TFR,323.0,0.0,161.5
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,127494.0,0.0,63747.0
Bulgaria,TCER,14.0,5.0,9.5
Canada,TFR,728.0,0.0,364.0
Cayman Islands,TFR,4.0,0.0,2.0
China,VFN,10530.0,0.0,5265.0
Colombia,TFR,18.0,0.0,9.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,34.0,33.0,33.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,19.0,0.0,9.5
Egypt,VFN,759.0,0.0,379.5
El Salvador,TFN,17.0,6.0,11.5
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,139.0,142.0,140.5
Grenada,TFN,6.0,9.0,7.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,4489.0,0.0,2244.5
Indonesia,VFN,373.0,406.0,389.5
Israel,TFR,617.0,0.0,308.5
Italy,TFN,970.0,0.0,485.0
Japan,VFN,660.0,629.0,644.5
Jordan,TFN,28.0,0.0,14.0
Kazakhstan,VFR,10.0,7.0,8.5
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,321.0,243.0,282.0
Kuwait,VFN,37.0,0.0,18.5
Lebanon,TFN,250.0,230.0,240.0
Lesotho,VFR,1737.0,1821.0,1779.0
Madagascar,TFN,110.0,0.0,55.0
Malawi,TFR,144560.0,0.0,72280.0
Malaysia,TFN,939.0,972.0,955.5
Maldives,TFN,108.0,0.0,54.0
Mali,TFR,196.0,0.0,98.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,1124.0,1171.0,1147.5
Mexico,TFR,67.0,0.0,33.5
Mongolia,TFN,11.0,13.0,12.0
Morocco,TFN,403.0,0.0,201.5
Mozambique,VFR,36850.0,13929.0,25389.5
Namibia,TFN,242160.0,238526.0,240343.0
New Zealand,VFR,211.0,181.0,196.0
Nicaragua,TFN,3.0,1.0,2.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,19.0,0.0,9.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,105.0,0.0,52.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,479.0,418.0,448.5
Seychelles,TFR,565.0,610.0,587.5
Sierra Leone,TFR,56.0,0.0,28.0
South Africa,TFR,165968.0,152064.0,159016.0
Sri Lanka,TFR,119.0,70.0,94.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,30845.0,0.0,15422.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,251.0,375.0,313.0
Trinidad and Tobago,TFN,28.0,25.0,26.5
Turkey,TFN,1021.0,0.0,510.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,139.0,0.0,69.5
United Arab Emirates,THSN,773.0,4805.0,2789.0
United States of America,TFR,4649.0,4363.0,4506.0
Uzbekistan,VFR,9.0,0.0,4.5
Zimbabwe,VFR,388977.0,0.0,194488.5
