Destination,SERIES,2018,2019,Average
Albania,VFN,25.0,48.0,36.5
Angola,TFR,454.0,431.0,442.5
Antigua and Barbuda,TFR,17.0,0.0,8.5
Armenia,TFR,25.0,0.0,12.5
Australia,VFR,3980.0,0.0,1990.0
Azerbaijan,VFR,94.0,104.0,99.0
Bahamas,TFR,66.0,58.0,62.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,68.0,0.0,34.0
Belarus,VFN,84.0,260.0,172.0
Belgium,TCER,532.0,0.0,266.0
Benin,TFR,150.0,0.0,75.0
Bhutan,TFN,1.0,11.0,6.0
Botswana,TFR,508448.0,0.0,254224.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,41.0,38.0,39.5
Cambodia,TFR,173.0,0.0,86.5
Canada,TFR,1303.0,0.0,651.5
Cayman Islands,TFR,18.0,0.0,9.0
Chile,TFN,183.0,119.0,151.0
China,VFN,14174.0,0.0,7087.0
Colombia,TFR,53.0,0.0,26.5
Comoros,TFN,0.0,0.0,0.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,56.0,78.0,67.0
Dominica,TFR,2.0,0.0,1.0
Ecuador,VFR,31.0,0.0,15.5
Egypt,VFN,1939.0,0.0,969.5
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,7104.0,0.0,3552.0
Finland,TCER,526.0,87.0,306.5
Grenada,TFN,6.0,19.0,12.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,3937.0,0.0,1968.5
Indonesia,VFN,1219.0,1742.0,1480.5
"Iran, Islamic Republic of",VFN,102.0,0.0,51.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,1198.0,0.0,599.0
Italy,TFN,0.0,5.0,2.5
Japan,VFN,484.0,723.0,603.5
Jordan,TFN,241.0,0.0,120.5
Kazakhstan,VFR,73.0,112.0,92.5
"Korea, Republic of",VFN,460.0,698.0,579.0
Kuwait,VFN,427.0,0.0,213.5
Latvia,TCER,16.0,12.0,14.0
Lebanon,TFN,366.0,229.0,297.5
Lesotho,VFR,20407.0,23228.0,21817.5
Madagascar,TFN,253.0,0.0,126.5
Malawi,TFR,115170.0,0.0,57585.0
Malaysia,TFN,1638.0,1644.0,1641.0
Maldives,TFN,215.0,0.0,107.5
Mali,TFR,331.0,0.0,165.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,2496.0,3021.0,2758.5
Mexico,TFR,310.0,0.0,155.0
Mongolia,TFN,24.0,10.0,17.0
Morocco,TFN,547.0,0.0,273.5
Mozambique,VFR,178264.0,208058.0,193161.0
Namibia,TFN,60689.0,78996.0,69842.5
New Zealand,VFR,424.0,419.0,421.5
Nicaragua,TFN,9.0,9.0,9.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,92.0,0.0,46.0
Paraguay,TFN,2.0,0.0,1.0
Poland,TCER,175.0,0.0,87.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,529.0,612.0,570.5
Seychelles,TFR,374.0,283.0,328.5
Sierra Leone,TFR,101.0,0.0,50.5
South Africa,TFR,2208930.0,2258794.0,2233862.0
Sri Lanka,TFR,247.0,200.0,223.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,46542.0,0.0,23271.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1063.0,1973.0,1518.0
Trinidad and Tobago,TFN,49.0,51.0,50.0
Turkey,TFN,2319.0,0.0,1159.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,399.0,0.0,199.5
United Arab Emirates,THSN,4647.0,32326.0,18486.5
United Kingdom,VFR,0.0,0.0,0.0
United States of America,TFR,7969.0,7555.0,7762.0
Uzbekistan,VFR,11.0,0.0,5.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,340263.0,0.0,170131.5
